R;P;T;RMinus;PMinus;TMinus
2868,126953125;628,098254394531;576,96493062973;-5;-1;1
3216,62279052734;491,199620437622;663,97593536377;-5;-3;-3
2212,47764892578;663,768780517578;554,609555053711;-5;-1;-1
1256,32980651855;481,984663391113;657,993259048462;-3;-1;-3
2334,75902099609;495,284735107422;596,987487792969;-5;-3;-1
2208,0384765625;478,408172607422;609,459063863754;-1;1;1
1825,91896362305;406,128527832031;536,199585723877;-1;-1;-3
1668,56802978516;432,658911132812;639,776010131836;3;-1;-1
806,122589111328;437,000210571289;620,478755187988;-1;1;-1
1657,77956466675;390,250163269043;595,157696533203;-1;-3;1
1692,62267456055;400,946752929687;576,815568351746;-3;1;-1
